,location,total_sqft,bath,price,bhk,price_per_sqft
1, Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
2, Devarachikkanahalli,1200.0,2.0,83.0,2,6916.666666666667
3, Devarachikkanahalli,1170.0,2.0,40.0,2,3418.803418803419
4, Devarachikkanahalli,1425.0,2.0,65.0,3,4561.403508771929
5, Devarachikkanahalli,947.0,2.0,43.0,2,4540.654699049631
6, Devarachikkanahalli,1130.0,2.0,36.0,2,3185.8407079646017
7, Devarachikkanahalli,1417.0,2.0,76.0,3,5363.443895553987
8, Devarachikkanahalli,1230.0,2.0,58.0,2,4715.447154471544
9, Devarachikkanahalli,1705.0,3.0,75.0,3,4398.826979472141
10, Devarachikkanahalli,1116.0,2.0,47.0,2,4211.469534050179
11, Devarachikkanahalli,991.0,2.0,40.0,2,4036.326942482341
13,1st Block Jayanagar,2850.0,4.0,428.0,4,15017.543859649122
14,1st Block Jayanagar,1630.0,3.0,194.0,3,11901.840490797545
15,1st Block Jayanagar,1875.0,2.0,235.0,3,12533.333333333334
16,1st Block Jayanagar,1200.0,2.0,130.0,3,10833.333333333334
17,1st Block Jayanagar,1235.0,2.0,148.0,2,11983.805668016194
18,1st Block Jayanagar,2750.0,4.0,413.0,4,15018.181818181818
19,1st Block Jayanagar,2450.0,4.0,368.0,4,15020.408163265307
21,1st Phase JP Nagar,1875.0,3.0,167.0,3,8906.666666666666
22,1st Phase JP Nagar,1500.0,5.0,85.0,5,5666.666666666667
23,1st Phase JP Nagar,2065.0,4.0,210.0,3,10169.49152542373
25,1st Phase JP Nagar,2059.0,3.0,225.0,3,10927.634774162214
26,1st Phase JP Nagar,1394.0,2.0,100.0,2,7173.601147776184
27,1st Phase JP Nagar,1077.0,2.0,93.0,2,8635.097493036212
28,1st Phase JP Nagar,1566.0,2.0,180.0,2,11494.252873563219
29,1st Phase JP Nagar,840.0,2.0,50.0,1,5952.380952380952
30,1st Phase JP Nagar,1590.0,3.0,131.0,3,8238.993710691824
31,1st Phase JP Nagar,2180.0,3.0,210.0,3,9633.02752293578
32,1st Phase JP Nagar,1180.0,2.0,88.5,2,7500.0
33,1st Phase JP Nagar,1200.0,2.0,86.0,2,7166.666666666667
34,1st Phase JP Nagar,1394.0,2.0,85.0,2,6097.5609756097565
35,1st Phase JP Nagar,2077.0,3.0,175.0,3,8425.613866153106
37,1st Phase JP Nagar,1205.0,2.0,85.0,2,7053.941908713693
39,1st Phase JP Nagar,900.0,2.0,75.0,2,8333.333333333334
40,2nd Phase Judicial Layout,1450.0,2.0,50.75,3,3500.0
41,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
42,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
43,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
44,2nd Phase Judicial Layout,900.0,2.0,41.0,2,4555.555555555556
45,2nd Phase Judicial Layout,1681.0,3.0,69.0,3,4104.699583581201
