,Area,BHK,Bathroom,Furnishing,Locality,Price
0,1500.0,3,3.0,Unfurnished,Alaknanda,26500000
1,1400.0,3,2.0,Unfurnished,Alaknanda,19000000
2,1100.0,2,2.0,Unfurnished,Alaknanda,15000000
3,1200.0,2,2.0,Semi-Furnished,Alaknanda,17500000
4,1400.0,2,2.0,Semi-Furnished,Alaknanda,14000000
5,1320.0,3,2.0,Unfurnished,Alaknanda,15600000
6,1440.0,3,3.0,Unfurnished,Alaknanda,19000000
7,1400.0,3,3.0,Semi-Furnished,Alaknanda,19000000
8,1500.0,3,3.0,Unfurnished,Alaknanda,26500000
9,1400.0,3,2.0,Unfurnished,Alaknanda,19000000
10,1100.0,2,2.0,Unfurnished,Alaknanda,15000000
11,1200.0,2,2.0,Semi-Furnished,Alaknanda,17500000
12,1400.0,2,2.0,Semi-Furnished,Alaknanda,14000000
13,1320.0,3,2.0,Unfurnished,Alaknanda,15600000
14,1440.0,3,3.0,Unfurnished,Alaknanda,19000000
15,1400.0,3,3.0,Semi-Furnished,Alaknanda,19000000
16,950.0,3,2.0,Semi-Furnished,Chhattarpur,7090000
17,950.0,3,2.0,Semi-Furnished,Chhattarpur,6990000
18,800.0,2,2.0,Semi-Furnished,Chhattarpur,4400000
19,800.0,2,2.0,Semi-Furnished,Chhattarpur,3000000
20,675.0,2,2.0,Semi-Furnished,Chhattarpur,2800000
21,1500.0,3,3.0,Unfurnished,Chhattarpur,6000000
22,810.0,2,2.0,Unfurnished,Chhattarpur,4500000
23,650.0,2,2.0,Semi-Furnished,Chhattarpur,2500000
24,725.0,2,2.0,Furnished,Chhattarpur,3000000
25,900.0,3,2.0,Semi-Furnished,Chhattarpur,4900000
26,750.0,2,2.0,Unfurnished,Chhattarpur,3500000
27,950.0,3,2.0,Semi-Furnished,Chhattarpur,7020000
28,900.0,2,2.0,Semi-Furnished,Chhattarpur,3500000
29,1500.0,3,3.0,Semi-Furnished,Chhattarpur,7000000
30,1300.0,3,3.0,Semi-Furnished,Chhattarpur,4400000
31,765.0,2,2.0,Unfurnished,Chhattarpur,2500000
32,2097.0,3,3.0,Unfurnished,Chittaranjan Park,29000000
33,1600.0,3,3.0,Semi-Furnished,Chittaranjan Park,33500000
34,1116.0,3,3.0,Semi-Furnished,Chittaranjan Park,14700000
35,1070.0,2,3.0,Semi-Furnished,Chittaranjan Park,18000000
36,1200.0,3,3.0,Semi-Furnished,Chittaranjan Park,22500000
37,1200.0,3,3.0,Unfurnished,Chittaranjan Park,22000000
38,1450.0,3,3.0,Semi-Furnished,Chittaranjan Park,22500000
39,1650.0,3,3.0,Unfurnished,Chittaranjan Park,35000000
40,1440.0,3,3.0,Semi-Furnished,Chittaranjan Park,22500000
41,1900.0,3,4.0,Semi-Furnished,Chittaranjan Park,28500000
42,1800.0,3,3.0,Semi-Furnished,Chittaranjan Park,29000000
43,1200.0,3,2.0,Semi-Furnished,Chittaranjan Park,15500000
44,1200.0,3,3.0,Semi-Furnished,Chittaranjan Park,16500000
45,4118.0,4,5.0,Unfurnished,Chittaranjan Park,55000000
46,1050.0,3,2.0,Semi-Furnished,Chittaranjan Park,12500000
47,3405.0,5,5.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",70000000
48,2105.0,3,3.0,Unfurnished,"Common Wealth Games Village, Commonwealth Games Village 2010",42100000
49,2090.0,3,4.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",44000000
50,1850.0,3,3.0,Unfurnished,"Common Wealth Games Village, Commonwealth Games Village 2010",37500000
51,2065.0,3,4.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",42500000
52,3405.0,5,4.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",71500000
53,3050.0,5,5.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",65000000
54,3100.0,5,5.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",65000000
55,1400.0,2,3.0,Unfurnished,"Common Wealth Games Village, Commonwealth Games Village 2010",28600000
56,2126.0,3,3.0,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",39000000
57,1250.0,3,2.0,Semi-Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",16000000
58,1200.0,3,3.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",13500000
59,1400.0,4,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",17800000
60,1550.0,4,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",17500000
61,1300.0,3,2.0,Semi-Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",17000000
62,1200.0,3,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",13500000
63,1400.0,4,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",17400000
64,1500.0,4,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",17800000
65,1050.0,2,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",12700000
66,950.0,2,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",11100000
67,1150.0,2,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",13600000
68,1150.0,2,2.0,Furnished,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",12500000
69,3002.0,4,5.0,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",50000000
70,1250.0,2,2.0,Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",15000000
71,2800.0,4,4.0,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",40000000
72,1646.0,3,3.0,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",20000000
73,1250.0,3,2.0,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",16000000
74,1590.0,3,2.0,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",25000000
75,2282.0,4,5.0,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",37500000
76,2800.0,4,5.0,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",42500000
77,2282.0,4,5.0,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",38000000
78,450.0,1,1.0,Unfurnished,"Dilshad Colony, Dilshad Garden",3300000
79,400.0,1,1.0,Semi-Furnished,"Dilshad Colony, Dilshad Garden",3500000
80,650.0,2,2.0,Unfurnished,"Dilshad Colony, Dilshad Garden",6500000
81,900.0,2,2.0,Furnished,"Dilshad Colony, Dilshad Garden",6900000
82,400.0,1,1.0,Unfurnished,"Dilshad Colony, Dilshad Garden",3600000
83,405.0,1,1.0,Unfurnished,"Dilshad Colony, Dilshad Garden",2500000
84,1076.39,3,2.0,Unfurnished,"Dilshad Colony, Dilshad Garden",9300000
85,370.0,1,1.0,Unfurnished,"Dilshad Colony, Dilshad Garden",2400000
86,1800.0,3,3.0,Semi-Furnished,"Dilshad Colony, Dilshad Garden",15000000
87,800.0,2,2.0,Semi-Furnished,"Dilshad Colony, Dilshad Garden",7500000
88,800.0,2,2.0,Unfurnished,"Dilshad Colony, Dilshad Garden",6000000
89,1000.0,2,2.0,Semi-Furnished,"Dilshad Colony, Dilshad Garden",6700000
90,2520.0,3,3.0,Unfurnished,Hauz Khas,47500000
91,1700.0,3,4.0,Unfurnished,Hauz Khas,45000000
92,1800.0,3,3.0,Semi-Furnished,Hauz Khas,43500000
93,2066.0,4,4.0,Unfurnished,Hauz Khas,60000000
94,1750.0,3,3.0,Unfurnished,Hauz Khas,35000000
95,1500.0,3,4.0,Unfurnished,Hauz Khas,45000000
96,1800.0,3,4.0,Semi-Furnished,Hauz Khas,47000000
97,2800.0,4,5.0,Semi-Furnished,Hauz Khas,70000000
98,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000
99,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000
100,720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4700000
101,800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000
102,980.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",7300000
103,1600.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13000000
104,1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",11500000
105,680.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4400000
106,1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13500000
107,630.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4100000
108,1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",12000000
109,2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",15000000
110,2800.0,5,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",17500000
111,300.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1900000
112,1295.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",10000000
113,350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2400000
114,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000
115,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000
116,2799.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",65000000
117,2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",47500000
118,3500.0,5,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",70000000
119,2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",47500000
120,2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",40000000
121,1440.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",26000000
122,900.0,2,2.0,Semi-Furnished,"Kailash Colony, Greater Kailash",20000000
123,3690.0,4,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",79000000
124,2799.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",43000000
125,1350.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",26000000
126,1200.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",25000000
127,2177.0,4,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",51000000
128,4500.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",70000000
129,2150.0,4,4.0,Unfurnished,"Kailash Colony, Greater Kailash",45000000
130,1150.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",25500000
131,1240.0,3,3.0,Unfurnished,"Kailash Colony, Greater Kailash",26500000
132,1150.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",26000000
133,2000.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",38000000
134,4500.0,4,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",72500000
135,3000.0,4,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",65000000
136,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
137,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
138,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000
139,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000
140,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,14000000
141,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
142,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
143,850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000
144,1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,25500000
145,1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,31000000
146,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,22000000
147,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,13400000
148,900.0,2,2.0,Furnished,Lajpat Nagar 2,12500000
149,800.0,2,2.0,Unfurnished,Lajpat Nagar 2,14500000
150,810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15500000
151,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000
152,900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000
153,825.0,2,2.0,Unfurnished,Lajpat Nagar 2,15000000
